,Country,Region,Year,Rank,Score,Economy,Family,Health,Freedom,Generosity,Corruption
93,Mozambique,Sub-Saharan Africa,2015,94,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603
112,Mozambique,Sub-Saharan Africa,2017,113,4.55000019073486,0.234305649995804,0.870701014995575,0.106654435396194,0.480791091918945,0.322228103876114,0.179436385631561
122,Mozambique,Sub-Saharan Africa,2018,123,4.417,0.198,0.902,0.173,0.531,0.206,0.158
122,Mozambique,Sub-Saharan Africa,2019,123,4.466,0.204,0.986,0.39,0.494,0.197,0.138
128,Myanmar,Southeastern Asia,2015,129,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034
118,Myanmar,Southeastern Asia,2016,119,4.395,0.34112,0.69981,0.3988,0.42692,0.81971,0.20243
113,Myanmar,Southeastern Asia,2017,114,4.54500007629395,0.367110550403595,1.12323594093323,0.397522568702698,0.514492034912109,0.838075160980225,0.188816204667091
129,Myanmar,Southeastern Asia,2018,130,4.308,0.682,1.174,0.429,0.58,0.598,0.178
130,Myanmar,Southeastern Asia,2019,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172
112,Namibia,Sub-Saharan Africa,2016,113,4.574,0.93287,0.70362,0.34745,0.48614,0.07795,0.10398
110,Namibia,Sub-Saharan Africa,2017,111,4.57399988174438,0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,0.0771337449550629,0.0931469723582268
118,Namibia,Sub-Saharan Africa,2018,119,4.441,0.874,1.281,0.365,0.519,0.051,0.064
112,Namibia,Sub-Saharan Africa,2019,113,4.639,0.879,1.313,0.477,0.401,0.07,0.056
120,Nepal,Southern Asia,2015,121,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907
106,Nepal,Southern Asia,2016,107,4.793,0.44626,0.69699,0.50073,0.37012,0.3816,0.07008
98,Nepal,Southern Asia,2017,99,4.96199989318848,0.479820191860199,1.17928326129913,0.504130780696869,0.440305948257446,0.394096165895462,0.0729755461215973
100,Nepal,Southern Asia,2018,101,4.88,0.425,1.228,0.539,0.526,0.302,0.078
99,Nepal,Southern Asia,2019,100,4.913,0.446,1.226,0.677,0.439,0.285,0.089
6,Netherlands,Western Europe,2015,7,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814
6,Netherlands,Western Europe,2016,7,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927
5,Netherlands,Western Europe,2017,6,7.3769998550415,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472
5,Netherlands,Western Europe,2018,6,7.441,1.361,1.488,0.878,0.638,0.333,0.295
4,Netherlands,Western Europe,2019,5,7.488,1.396,1.522,0.999,0.557,0.322,0.298
8,New Zealand,Australia and New Zealand,2015,9,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922
7,New Zealand,Australia and New Zealand,2016,8,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904
7,New Zealand,Australia and New Zealand,2017,8,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457
7,New Zealand,Australia and New Zealand,2018,8,7.324,1.268,1.601,0.876,0.669,0.365,0.389
7,New Zealand,Australia and New Zealand,2019,8,7.307,1.303,1.557,1.026,0.585,0.33,0.38
56,Nicaragua,Latin America and Caribbean,2015,57,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317
47,Nicaragua,Latin America and Caribbean,2016,48,5.992,0.69384,0.89521,0.65213,0.46582,0.29773,0.16292
42,Nicaragua,Latin America and Caribbean,2017,43,6.07100009918213,0.737299203872681,1.28721570968628,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948
40,Nicaragua,Latin America and Caribbean,2018,41,6.141,0.668,1.319,0.7,0.527,0.208,0.128
44,Nicaragua,Latin America and Caribbean,2019,45,6.105,0.694,1.325,0.835,0.435,0.2,0.127
143,Niger,Sub-Saharan Africa,2015,144,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639
141,Niger,Sub-Saharan Africa,2016,142,3.856,0.1327,0.6053,0.26162,0.38041,0.2097,0.17176
134,Niger,Sub-Saharan Africa,2017,135,4.02799987792969,0.161925330758095,0.993025004863739,0.26850500702858,0.36365869641304,0.228673845529556,0.138572946190834
133,Niger,Sub-Saharan Africa,2018,134,4.166,0.131,0.867,0.221,0.39,0.175,0.099
113,Niger,Sub-Saharan Africa,2019,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102
77,Nigeria,Sub-Saharan Africa,2015,78,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403
102,Nigeria,Sub-Saharan Africa,2016,103,4.875,0.75216,0.64498,0.05108,0.27854,0.23219,0.0305
94,Nigeria,Sub-Saharan Africa,2017,95,5.07399988174438,0.783756256103516,1.21577048301697,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064
90,Nigeria,Sub-Saharan Africa,2018,91,5.155,0.689,1.172,0.048,0.462,0.201,0.032
84,Nigeria,Sub-Saharan Africa,2019,85,5.265,0.696,1.111,0.245,0.426,0.215,0.041
65,North Cyprus,Western Europe,2015,66,5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428
61,North Cyprus,Western Europe,2016,62,5.771,1.31141,0.81826,0.84142,0.43596,0.26322,0.16578
60,North Cyprus,Western Europe,2017,61,5.80999994277954,1.3469113111496,1.18630337715149,0.834647238254547,0.471203625202179,0.266845703125,0.155353352427483
83,North Macedonia,Central and Eastern Europe,2019,84,5.274,0.983,1.294,0.838,0.345,0.185,0.034
57,Northern Cyprus,Middle East and Northern Africa,2018,58,5.835,1.229,1.211,0.909,0.495,0.179,0.154
63,Northern Cyprus,Middle East and Northern Africa,2019,64,5.718,1.263,1.252,1.042,0.417,0.191,0.162
3,Norway,Western Europe,2015,4,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503
3,Norway,Western Europe,2016,4,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776
0,Norway,Western Europe,2017,1,7.53700017929077,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155
1,Norway,Western Europe,2018,2,7.594,1.456,1.582,0.861,0.686,0.286,0.34
2,Norway,Western Europe,2019,3,7.554,1.488,1.582,1.028,0.603,0.271,0.341
21,Oman,Middle East and Northern Africa,2015,22,6.853,1.36011,1.08182,0.76276,0.63274,0.21542,0.32524
80,Pakistan,Southern Asia,2015,81,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464
91,Pakistan,Southern Asia,2016,92,5.132,0.68816,0.26135,0.40306,0.14622,0.31185,0.1388
79,Pakistan,Southern Asia,2017,80,5.26900005340576,0.72688353061676,0.672690689563751,0.402047783136368,0.23521526157856,0.315446019172668,0.124348066747189
74,Pakistan,Southern Asia,2018,75,5.472,0.652,0.81,0.424,0.334,0.216,0.113
66,Pakistan,Southern Asia,2019,67,5.653,0.677,0.886,0.535,0.313,0.22,0.098
107,Palestinian Territories,Middle East and Northern Africa,2015,108,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905
107,Palestinian Territories,Middle East and Northern Africa,2016,108,4.754,0.67024,0.71629,0.56844,0.17744,0.11154,0.10613
102,Palestinian Territories,Middle East and Northern Africa,2017,103,4.77500009536743,0.716249227523804,1.15564715862274,0.565666973590851,0.25471106171608,0.114173173904419,0.0892826020717621
103,Palestinian Territories,Middle East and Northern Africa,2018,104,4.743,0.642,1.217,0.602,0.266,0.086,0.076
109,Palestinian Territories,Middle East and Northern Africa,2019,110,4.696,0.657,1.247,0.672,0.225,0.103,0.066
24,Panama,Latin America and Caribbean,2015,25,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927
24,Panama,Latin America and Caribbean,2016,25,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423
29,Panama,Latin America and Caribbean,2017,30,6.4520001411438,1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653
26,Panama,Latin America and Caribbean,2018,27,6.43,1.112,1.438,0.759,0.597,0.125,0.063
30,Panama,Latin America and Caribbean,2019,31,6.321,1.149,1.442,0.91,0.516,0.109,0.054
52,Paraguay,Latin America and Caribbean,2015,53,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242
69,Paraguay,Latin America and Caribbean,2016,70,5.538,0.89373,1.11111,0.58295,0.46235,0.25296,0.07396
69,Paraguay,Latin America and Caribbean,2017,70,5.49300003051758,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797
63,Paraguay,Latin America and Caribbean,2018,64,5.681,0.835,1.522,0.615,0.541,0.162,0.074
62,Paraguay,Latin America and Caribbean,2019,63,5.743,0.855,1.475,0.777,0.514,0.184,0.08
57,Peru,Latin America and Caribbean,2015,58,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989
63,Peru,Latin America and Caribbean,2016,64,5.743,0.99602,0.81255,0.62994,0.37502,0.14527,0.05292
62,Peru,Latin America and Caribbean,2017,63,5.71500015258789,1.03522527217865,1.21877038478851,0.630166113376617,0.450002878904343,0.126819714903831,0.0470490865409374
64,Peru,Latin America and Caribbean,2018,65,5.663,0.934,1.249,0.674,0.53,0.092,0.034
64,Peru,Latin America and Caribbean,2019,65,5.697,0.96,1.274,0.854,0.455,0.083,0.027
89,Philippines,Southeastern Asia,2015,90,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279
81,Philippines,Southeastern Asia,2016,82,5.279,0.81217,0.87877,0.47036,0.54854,0.21674,0.11757
71,Philippines,Southeastern Asia,2017,72,5.42999982833862,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.193513423204422,0.0993318930268288
70,Philippines,Southeastern Asia,2018,71,5.524,0.775,1.312,0.513,0.643,0.12,0.105
68,Philippines,Southeastern Asia,2019,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107
59,Poland,Central and Eastern Europe,2015,60,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212
56,Poland,Central and Eastern Europe,2016,57,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055
45,Poland,Central and Eastern Europe,2017,46,5.97300004959106,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286
41,Poland,Central and Eastern Europe,2018,42,6.123,1.176,1.448,0.781,0.546,0.108,0.064
39,Poland,Central and Eastern Europe,2019,40,6.182,1.206,1.438,0.884,0.483,0.117,0.05
87,Portugal,Western Europe,2015,88,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078
93,Portugal,Western Europe,2016,94,5.123,1.27607,0.94367,0.79363,0.44727,0.11691,0.01521
88,Portugal,Western Europe,2017,89,5.19500017166138,1.3151752948761,1.36704301834106,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399
76,Portugal,Western Europe,2018,77,5.41,1.188,1.429,0.884,0.562,0.055,0.017
65,Portugal,Western Europe,2019,66,5.693,1.221,1.431,0.999,0.508,0.047,0.025
14,Puerto Rico,Latin America and Caribbean,2016,15,7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275
27,Qatar,Middle East and Northern Africa,2015,28,6.611,1.69042,1.0786,0.79733,0.6404,0.32573,0.52208
35,Qatar,Middle East and Northern Africa,2016,36,6.375,1.82427,0.87964,0.71723,0.56679,0.32388,0.48049
34,Qatar,Middle East and Northern Africa,2017,35,6.375,1.87076568603516,1.27429687976837,0.710098087787628,0.604130983352661,0.330473870038986,0.439299255609512
31,Qatar,Middle East and Northern Africa,2018,32,6.374,1.649,1.303,0.748,0.654,0.256,0.171
28,Qatar,Middle East and Northern Africa,2019,29,6.374,1.684,1.313,0.871,0.555,0.22,0.167
85,Romania,Central and Eastern Europe,2015,86,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649
70,Romania,Central and Eastern Europe,2016,71,5.528,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679
56,Romania,Central and Eastern Europe,2017,57,5.82499980926514,1.21768391132355,1.15009129047394,0.685158312320709,0.457003742456436,0.133519917726517,0.00438790069893
51,Romania,Central and Eastern Europe,2018,52,5.945,1.116,1.219,0.726,0.528,0.088,0.001
47,Romania,Central and Eastern Europe,2019,48,6.07,1.162,1.232,0.825,0.462,0.083,0.005
63,Russia,Central and Eastern Europe,2015,64,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005
55,Russia,Central and Eastern Europe,2016,56,5.856,1.23228,1.05261,0.58991,0.32682,0.02736,0.03586
48,Russia,Central and Eastern Europe,2017,49,5.96299982070923,1.28177809715271,1.46928238868713,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522
58,Russia,Central and Eastern Europe,2018,59,5.81,1.151,1.479,0.599,0.399,0.065,0.025
67,Russia,Central and Eastern Europe,2019,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031
153,Rwanda,Sub-Saharan Africa,2015,154,3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191
151,Rwanda,Sub-Saharan Africa,2016,152,3.515,0.32846,0.61586,0.31865,0.5432,0.23552,0.50521
150,Rwanda,Sub-Saharan Africa,2017,151,3.47099995613098,0.368745893239975,0.945707023143768,0.326424807310104,0.581843852996826,0.252756029367447,0.455220013856888
150,Rwanda,Sub-Saharan Africa,2018,151,3.408,0.332,0.896,0.4,0.636,0.2,0.444
151,Rwanda,Sub-Saharan Africa,2019,152,3.334,0.359,0.711,0.614,0.555,0.217,0.411
34,Saudi Arabia,Middle East and Northern Africa,2015,35,6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524
33,Saudi Arabia,Middle East and Northern Africa,2016,34,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008
36,Saudi Arabia,Middle East and Northern Africa,2017,37,6.3439998626709,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126
32,Saudi Arabia,Middle East and Northern Africa,2018,33,6.371,1.379,1.331,0.633,0.509,0.098,0.127
27,Saudi Arabia,Middle East and Northern Africa,2019,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132
141,Senegal,Sub-Saharan Africa,2015,142,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713
127,Senegal,Sub-Saharan Africa,2016,128,4.219,0.44314,0.77416,0.40457,0.31056,0.19103,0.11681
114,Senegal,Sub-Saharan Africa,2017,115,4.53499984741211,0.479309022426605,1.17969191074371,0.409362852573395,0.377922266721725,0.183468893170357,0.115460447967052
108,Senegal,Sub-Saharan Africa,2018,109,4.631,0.429,1.117,0.433,0.406,0.138,0.082
110,Senegal,Sub-Saharan Africa,2019,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072
86,Serbia,Central and Eastern Europe,2015,87,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617
85,Serbia,Central and Eastern Europe,2016,86,5.177,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339
72,Serbia,Central and Eastern Europe,2017,73,5.39499998092651,1.06931757926941,1.25818979740143,0.65078467130661,0.208715528249741,0.220125883817673,0.0409037806093693
77,Serbia,Central and Eastern Europe,2018,78,5.398,0.975,1.369,0.685,0.288,0.134,0.043
69,Serbia,Central and Eastern Europe,2019,70,5.603,1.004,1.383,0.854,0.282,0.137,0.039
122,Sierra Leone,Sub-Saharan Africa,2015,123,4.507,0.33024,0.95571,0.0,0.4084,0.21488,0.08786
110,Sierra Leone,Sub-Saharan Africa,2016,111,4.635,0.36485,0.628,0.0,0.30685,0.23897,0.08196
105,Sierra Leone,Sub-Saharan Africa,2017,106,4.70900011062622,0.36842092871666,0.984136044979095,0.0055647538974881,0.318697690963745,0.293040901422501,0.0710951760411263
112,Sierra Leone,Sub-Saharan Africa,2018,113,4.571,0.256,0.813,0.0,0.355,0.238,0.053
128,Sierra Leone,Sub-Saharan Africa,2019,129,4.374,0.268,0.841,0.242,0.309,0.252,0.045
23,Singapore,Southeastern Asia,2015,24,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921
21,Singapore,Southeastern Asia,2016,22,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987
25,Singapore,Southeastern Asia,2017,26,6.57200002670288,1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,0.345965981483459,0.46430778503418
33,Singapore,Southeastern Asia,2018,34,6.343,1.529,1.451,1.008,0.631,0.261,0.457
33,Singapore,Southeastern Asia,2019,34,6.262,1.572,1.463,1.141,0.556,0.271,0.453
44,Slovakia,Central and Eastern Europe,2015,45,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431
44,Slovakia,Central and Eastern Europe,2016,45,6.078,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947
39,Slovakia,Central and Eastern Europe,2017,40,6.09800004959106,1.32539355754852,1.50505924224854,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092
38,Slovakia,Central and Eastern Europe,2018,39,6.173,1.21,1.537,0.776,0.354,0.118,0.014
37,Slovakia,Central and Eastern Europe,2019,38,6.198,1.246,1.504,0.881,0.334,0.121,0.014
54,Slovenia,Central and Eastern Europe,2015,55,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787
62,Slovenia,Central and Eastern Europe,2016,63,5.768,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635
61,Slovenia,Central and Eastern Europe,2017,62,5.75799989700317,1.3412059545517,1.45251882076263,0.790828227996826,0.572575807571411,0.242649093270302,0.0451289787888527
50,Slovenia,Central and Eastern Europe,2018,51,5.948,1.219,1.506,0.856,0.633,0.16,0.051
43,Slovenia,Central and Eastern Europe,2019,44,6.118,1.258,1.523,0.953,0.564,0.144,0.057
75,Somalia,Sub-Saharan Africa,2016,76,5.44,0.0,0.33613,0.11466,0.56778,0.27225,0.3118
92,Somalia,Sub-Saharan Africa,2017,93,5.15100002288818,0.0226431842893362,0.721151351928711,0.113989137113094,0.602126955986023,0.291631311178207,0.282410323619843
97,Somalia,Sub-Saharan Africa,2018,98,4.982,0.0,0.712,0.115,0.674,0.238,0.282
111,Somalia,Sub-Saharan Africa,2019,112,4.668,0.0,0.698,0.268,0.559,0.243,0.27
96,Somaliland Region,Sub-Saharan Africa,2016,97,5.057,0.25558,0.75862,0.33108,0.3913,0.51479,0.36794
90,Somaliland region,Sub-Saharan Africa,2015,91,5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928
112,South Africa,Sub-Saharan Africa,2015,113,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884
115,South Africa,Sub-Saharan Africa,2016,116,4.459,1.02416,0.96053,0.18611,0.42483,0.13656,0.08415
100,South Africa,Sub-Saharan Africa,2017,101,4.8289999961853,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,0.139362379908562,0.0725094974040985
104,South Africa,Sub-Saharan Africa,2018,105,4.724,0.94,1.41,0.33,0.516,0.103,0.056
105,South Africa,Sub-Saharan Africa,2019,106,4.722,0.96,1.351,0.469,0.389,0.13,0.055
46,South Korea,Eastern Asia,2015,47,5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857
57,South Korea,Eastern Asia,2016,57,5.835,1.35948,0.72194,0.88645,0.25168,0.18824,0.07716
54,South Korea,Eastern Asia,2017,55,5.83799982070923,1.40167844295502,1.12827444076538,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457
56,South Korea,Eastern Asia,2018,57,5.875,1.266,1.204,0.955,0.244,0.175,0.051
53,South Korea,Eastern Asia,2019,54,5.895,1.301,1.219,1.036,0.159,0.175,0.056
142,South Sudan,Sub-Saharan Africa,2016,143,3.832,0.39394,0.18519,0.15781,0.19662,0.25899,0.13015
146,South Sudan,Middle East and Northern Africa,2017,147,3.59100008010864,0.39724862575531,0.601323127746582,0.163486003875732,0.147062435746193,0.285670816898346,0.116793513298035
153,South Sudan,Middle East and Northern Africa,2018,154,3.254,0.337,0.608,0.177,0.112,0.224,0.106
155,South Sudan,Sub-Saharan Africa,2019,156,2.853,0.306,0.575,0.295,0.01,0.202,0.091
35,Spain,Western Europe,2015,36,6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398
36,Spain,Western Europe,2016,37,6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137
33,Spain,Western Europe,2017,34,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986
35,Spain,Western Europe,2018,36,6.31,1.251,1.538,0.965,0.449,0.142,0.074
29,Spain,Western Europe,2019,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079
131,Sri Lanka,Southern Asia,2015,132,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179
116,Sri Lanka,Southern Asia,2016,117,4.415,0.97318,0.84783,0.62007,0.50817,0.46978,0.07964
119,Sri Lanka,Southern Asia,2017,120,4.44000005722046,1.00985014438629,1.25997638702393,0.625130832195282,0.561213254928589,0.490863561630249,0.0736539661884308
115,Sri Lanka,Southern Asia,2018,116,4.471,0.918,1.314,0.672,0.585,0.307,0.05
129,Sri Lanka,Southern Asia,2019,130,4.366,0.949,1.265,0.831,0.47,0.244,0.047
117,Sudan,Sub-Saharan Africa,2015,118,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466
132,Sudan,Sub-Saharan Africa,2016,133,4.139,0.63069,0.81928,0.29759,0.0,0.18077,0.10039
129,Sudan,Sub-Saharan Africa,2017,130,4.13899993896484,0.65951669216156,1.21400856971741,0.290920823812485,0.0149958552792668,0.182317450642586,0.089847519993782
136,Sudan,Sub-Saharan Africa,2018,137,4.139,0.605,1.24,0.312,0.016,0.134,0.082
39,Suriname,Latin America and Caribbean,2015,40,6.269,0.99534,0.972,0.6082,0.59657,0.16991,0.13633
39,Suriname,Latin America and Caribbean,2016,40,6.269,1.09686,0.77866,0.50933,0.52234,0.16665,0.12692
100,Swaziland,Sub-Saharan Africa,2015,101,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306
134,Swaziland,Sub-Saharan Africa,2019,135,4.212,0.811,1.149,0.0,0.313,0.074,0.135
7,Sweden,Western Europe,2015,8,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844
9,Sweden,Western Europe,2016,10,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867
8,Sweden,Western Europe,2017,9,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085
8,Sweden,Western Europe,2018,9,7.314,1.355,1.501,0.913,0.659,0.285,0.383
6,Sweden,Western Europe,2019,7,7.343,1.387,1.487,1.009,0.574,0.267,0.373
0,Switzerland,Western Europe,2015,1,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978
1,Switzerland,Western Europe,2016,2,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203
3,Switzerland,Western Europe,2017,4,7.49399995803833,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522
4,Switzerland,Western Europe,2018,5,7.487,1.42,1.549,0.927,0.66,0.256,0.357
5,Switzerland,Western Europe,2019,6,7.48,1.452,1.526,1.052,0.572,0.263,0.343
155,Syria,Middle East and Northern Africa,2015,156,3.006,0.6632,0.47489,0.72193,0.15684,0.47179,0.18906
155,Syria,Middle East and Northern Africa,2016,156,3.069,0.74719,0.14866,0.62994,0.06912,0.48397,0.17233
151,Syria,Middle East and Northern Africa,2017,152,3.46199989318848,0.777153134346008,0.396102607250214,0.50053334236145,0.0815394446253777,0.493663728237152,0.151347130537033
149,Syria,Middle East and Northern Africa,2018,150,3.462,0.689,0.382,0.539,0.088,0.376,0.144
148,Syria,Middle East and Northern Africa,2019,149,3.462,0.619,0.378,0.44,0.013,0.331,0.141
37,Taiwan,Eastern Asia,2015,38,6.298,1.29098,1.07617,0.8753,0.3974,0.25376,0.08129
34,Taiwan,Eastern Asia,2016,34,6.379,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663
25,Taiwan,Eastern Asia,2018,26,6.441,1.365,1.436,0.857,0.418,0.151,0.078
24,Taiwan,Eastern Asia,2019,25,6.446,1.368,1.43,0.914,0.351,0.242,0.097
32,Taiwan Province of China,Eastern  Asia,2017,33,6.42199993133545,1.43362653255463,1.38456535339355,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554
105,Tajikistan,Central and Eastern Europe,2015,106,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072
99,Tajikistan,Central and Eastern Europe,2016,100,4.996,0.48835,0.75602,0.53119,0.43408,0.25998,0.13509
95,Tajikistan,Central and Eastern Europe,2017,96,5.04099988937378,0.524713635444641,1.27146327495575,0.529235124588013,0.471566706895828,0.248997643589973,0.146377146244049
87,Tajikistan,Central and Eastern Europe,2018,88,5.199,0.474,1.166,0.598,0.292,0.187,0.034
73,Tajikistan,Central and Eastern Europe,2019,74,5.467,0.493,1.098,0.718,0.389,0.23,0.144
145,Tanzania,Sub-Saharan Africa,2015,146,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747
148,Tanzania,Sub-Saharan Africa,2016,149,3.666,0.47155,0.77623,0.357,0.3176,0.31472,0.05099
152,Tanzania,Sub-Saharan Africa,2017,153,3.34899997711182,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.354256361722946,0.0660351067781448
152,Tanzania,Sub-Saharan Africa,2018,153,3.303,0.455,0.991,0.381,0.481,0.27,0.097
152,Tanzania,Sub-Saharan Africa,2019,153,3.231,0.476,0.885,0.499,0.417,0.276,0.147
33,Thailand,Southeastern Asia,2015,34,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187
32,Thailand,Southeastern Asia,2016,33,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833
31,Thailand,Southeastern Asia,2017,32,6.42399978637695,1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515
45,Thailand,Southeastern Asia,2018,46,6.072,1.016,1.417,0.707,0.637,0.364,0.029
51,Thailand,Southeastern Asia,2019,52,6.008,1.05,1.409,0.828,0.557,0.359,0.028
157,Togo,Sub-Saharan Africa,2015,158,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731
154,Togo,Sub-Saharan Africa,2016,155,3.303,0.28123,0.0,0.24811,0.34678,0.17517,0.11587
149,Togo,Sub-Saharan Africa,2017,150,3.49499988555908,0.305444717407227,0.431882530450821,0.247105568647385,0.38042613863945,0.196896150708199,0.0956650152802467
138,Togo,Sub-Saharan Africa,2018,139,3.999,0.259,0.474,0.253,0.434,0.158,0.101
138,Togo,Sub-Saharan Africa,2019,139,4.085,0.275,0.572,0.41,0.293,0.177,0.085
37,Trinidad & Tobago,Latin America and Caribbean,2018,38,6.192,1.223,1.492,0.564,0.575,0.171,0.019
38,Trinidad & Tobago,Latin America and Caribbean,2019,39,6.192,1.231,1.477,0.713,0.489,0.185,0.016
40,Trinidad and Tobago,Latin America and Caribbean,2015,41,6.168,1.21183,1.18354,0.61483,0.55884,0.31844,0.0114
42,Trinidad and Tobago,Latin America and Caribbean,2016,43,6.168,1.32572,0.98569,0.52608,0.48453,0.31935,0.01241
37,Trinidad and Tobago,Latin America and Caribbean,2017,38,6.16800022125244,1.36135590076447,1.3802285194397,0.519983291625977,0.518630743026733,0.325296461582184,0.0089648161083459
106,Tunisia,Middle East and Northern Africa,2015,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358
97,Tunisia,Middle East and Northern Africa,2016,98,5.045,0.97724,0.43165,0.59577,0.23553,0.03936,0.0817
